"Position","Candidate Name","Votes","Votes %","Party"
1,Pratima Mondal,494746,41.7%,All India Trinamool Congress
2,Subhas Naskar,386362,32.6%,Revolutionary Socialist Party
3,Dr. Tarun Mandal,117454,9.9%,Socialist Unity Centre Of India (COMMUNIST)
4,Krishnapada Majumder,113206,9.5%,Bharatiya Janta Party
5,Arnab Roy,38493,3.2%,Indian National Congress
6,Taranga Mondal,13333,1.1%,All India United Democratic Front
7,Maniklal Sardar,5908,0.5%,Rashtriya Janadhikar Suraksha Party
8,Subhas Naskar,5161,0.4%,Independent
9,Ananya Sarkar,2909,0.2%,Bahujan Samaj Party
10,Dr. Rabin Naskar,2657,0.2%,Bahujan Mukti Party
