"Position","Candidate Name","Votes","Votes %","Party"
1,Ravindra Kushawaha,392213,45.9%,Bharatiya Janta Party
2,Ravi Shanker Singhpappu,159871,18.7%,Bahujan Samaj Party
3,Haribansh Sahai Kushwaha,159688,18.7%,Samajwadi Party
4,Om Prakash Rajbhar,66084,7.7%,Suheldev Bhartiya Samaj Party
5,Dr.Bhola Pandey,41890,4.9%,Indian National Congress
6,Onkar Singh,4947,0.6%,Samajwadi Samaj Party
7,Ram Kripal,4377,0.5%,Independent
8,Chandra Pratap Singh,4263,0.5%,Aam Aadmi Party
9,Sushant Raj Pathak,3631,0.4%,Independent
10,Shriram Chaudhary,3572,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Siyaram Das,2709,0.3%,Independent
12,Dr Sanjay Kr. Singh,1675,0.2%,Janata Dal (United)
13,Firoz Akhtar,1507,0.2%,Rashtriya Ulama Council
