"Position","Candidate Name","Votes","Votes %","Party"
1,Y.V.Subba Reddy,589960,48.8%,Yuvajana Sramika Rythu Congress Party
2,Magunta Sreenivasulu Reddy,574302,47.5%,Telugu Desam
3,Darisi Pavan Kumar,13357,1.1%,Indian National Congress
4,Krishna Rao Vemula,5863,0.5%,Bahujan Samaj Party
5,S.S.N.Raja Yadav,4299,0.4%,Aam Aadmi Party
6,Gollapalli Kishore Kumar Reddy,3724,0.3%,Jai Samaikyandhra Party
7,Kavuri Venubabu Naidu,3207,0.3%,Independent
8,Radhakrishna Somisetty,1936,0.2%,Independent
9,Pammi Venka Reddy,1387,0.1%,Pyramid Party Of India
10,Bellamkonda Venkatrao,1001,0.1%,Independent
11,Chapala Venkata Rao,880,0.1%,Independent
12,Kiran Dasaranna Mattegunta,755,0.1%,Independent
13,B. Balajee Rao,657,0.1%,Independent
14,Pidaparthi Madhusudhana Reddy,624,0.1%,Independent
15,Dama Mohan Rao,492,0.0%,Independent
