"Position","Candidate Name","Votes","Votes %","Party"
1,Asaduddin Owaisi,513868,52.9%,All India Majlis-E-Ittehadul Muslimoon
2,Dr.Bhagavanth Rao,311414,32.1%,Bharatiya Janta Party
3,S Krishna Reddy,49310,5.1%,Indian National Congress
4,Rashid Shareef,37195,3.8%,Telangana Rashtra Samithi
5,Binghi Rajashekar,21796,2.2%,Pyramid Party Of India
6,Boddu Sainath Reddy,10743,1.1%,Yuvajana Sramika Rythu Congress Party
7,Lubna Sarwath,6118,0.6%,Aam Aadmi Party
8,M A Habeeb,5992,0.6%,Independent
9,Venu Gopal.P,3100,0.3%,Bahujan Samaj Party
10,Syed Mustafa Mahmood,2102,0.2%,Majlis Bachao Tahreek
11,S.Khaja Moinuddin,1593,0.2%,All India Azaad Congress Party
12,Syed Abdul Gaffer,740,0.1%,Independent
13,Md Osman,728,0.1%,Independent
14,Shaik Moin,626,0.1%,Independent
15,Jaya Vindhyala,598,0.1%,Socialist Party (India)
16,N.Mahender Singh,485,0.0%,Nava Bharat National Party
