"Position","Candidate Name","Votes","Votes %","Party"
1,Mala Rajya Laxmi Shah,446733,57.6%,Bharatiya Janta Party
2,Saket Bahuguna,254230,32.8%,Indian National Congress
3,Anoop Nautiyal,24043,3.1%,Aam Aadmi Party
4,Shishpal Singh,11538,1.5%,Bahujan Samaj Party
5,Sohan Pal Singh,6672,0.9%,Independent
6,Shiv Prasad Deoli,6577,0.8%,Communist Party Of India (MARXIST)
7,Gaurav Pundir,2302,0.3%,Independent
8,Prem Singh Yadav,2007,0.3%,Independent
9,Japinder Singh,1958,0.3%,Rashtriya Lok Dal
10,Raju Maurya,1935,0.2%,Independent
11,Navneet Singh Gosain,1629,0.2%,Rashtriya Uttarakhand Party
12,Jai Prakash Upadhyay,1619,0.2%,Independent
13,Barhm Dev Jha,1554,0.2%,Independent
14,Haji Mohd. Yousuf,900,0.1%,Peace Party
15,Satendra Sharma,878,0.1%,Naya Daur Party
16,Jauhari Lal Suman(MUNI),877,0.1%,Bharatiya Mool Niwasi Samaj Party
