"Position","Candidate Name","Votes","Votes %","Party"
1,Mohammad Asrarul Haque,493461,53.1%,Indian National Congress
2,Dr Dilip Kumar Jaiswal,298849,32.2%,Bharatiya Janta Party
3,Akhtarul Iman,55822,6.0%,Janata Dal (United)
4,Alimuddin Ansari,15010,1.6%,Aam Aadmi Party
5,Md.Naushad,14903,1.6%,Bahujan Samaj Party
6,Chhote Lal Mahto,11392,1.2%,Independent
7,Manuwer Alam,5714,0.6%,Janta Dal Rashtravadi
8,Md. Gulab Siddiki,5559,0.6%,Loktantrik Janata Party (Secular)
9,Mohammad Wasiqur Rahman,5422,0.6%,Indian Union Muslim League
10,Chitranjan Singh,5152,0.6%,Independent
