"Position","Candidate Name","Votes","Votes %","Party"
1,Arvind Sawant,374780,48.0%,Shiv Sena
2,Deora Milind Murli,246632,31.6%,Indian National Congress
3,Bala Nandgaonkar,84864,10.9%,Maharashtra Navnirman Sena
4,Meera Sanyal,40388,5.2%,Aam Aadmi Party
5,Prakash Reddy,6903,0.9%,Communist Party Of India
6,Abdus Salam Khan Qasmi,6677,0.9%,Bahujan Samaj Party
7,Ratan Devram Bodke,1325,0.2%,Independent
8,Sachin Pawar,1266,0.2%,Bahujan Mukti Party
9,Farnandes Santan,1078,0.1%,Independent
10,Rajendra Daulat Desai,1059,0.1%,Independent
11,Shahzad Shamsher Khan Pathan,920,0.1%,Awami Vikas Party
12,Basit Faith,765,0.1%,Independent
13,Jaheda Mohammed Hanif Shaikh,703,0.1%,Independent
14,Baig Mirza Kalim,677,0.1%,The Lok Party Of India
15,Dr. Omraj L. Rathod,675,0.1%,Independent
16,Kataria Jitendra Kamabhai,595,0.1%,Independent
17,Gaurav Sharma,561,0.1%,Independent
18,Shankar Sonawane,459,0.1%,Independent
19,Shehbaj Rathod,415,0.1%,Jai Maha Bharath Party
20,Abdul Latif Abdul Kadar Shaikh,400,0.1%,Independent
