"Position","Candidate Name","Votes","Votes %","Party"
1,Bijoy Chandra Barman,494773,38.0%,All India Trinamool Congress
2,Mahendra Kumar Roy,425167,32.7%,Communist Party Of India (MARXIST)
3,Satyalal Sarkar,221593,17.0%,Bharatiya Janta Party
4,Sukhbilas Barma,87588,6.7%,Indian National Congress
5,Kshitish Chandra Mandal,12147,0.9%,Bahujan Samaj Party
6,Haribhakta Sardar,9283,0.7%,Socialist Unity Centre Of India (COMMUNIST)
7,Subhas Biswas,8545,0.7%,Independent
8,Harekrishna Sarkar,7636,0.6%,Republican Party Of India (A)
9,Haripada Barman,6608,0.5%,Rashtriya Janasachetan Party (R.J.P.)
10,Dilip Sarkar,4900,0.4%,Bahujan Mukti Party
11,Dhritiman Roy,4501,0.3%,Rashtriya Janadhikar Suraksha Party
12,Dhirendra Nath Roy,2835,0.2%,Amra Bangalee
