"Position","Candidate Name","Votes","Votes %","Party"
1,Udhaya Kumar .M,510462,47.1%,All India Anna Dravida Munnetra Kazhagam
2,Gandhirajan S,382617,35.3%,Dravida Munetra Kazhagam
3,Krishnamoorthy A,93794,8.7%,Desiya Murpokku Dravida Kazhagam
4,Chitthan N.S.V,35632,3.3%,Indian National Congress
5,Pandi.N,19455,1.8%,Communist Party Of India (MARXIST)
6,Rajendhran. R,7580,0.7%,Independent
7,Manivannan N,5859,0.5%,Independent
8,Venkatesan G,3588,0.3%,Independent
9,Elanchezhian.S,3395,0.3%,Aam Aadmi Party
10,Pauldurai V K,2604,0.2%,Independent
11,Bagatsingh Palanichamy M,1903,0.2%,Bahujan Samaj Party
12,Chandramohan P,1261,0.1%,Independent
13,Nagarajan V,1202,0.1%,Independent
14,Dhandapani.K,863,0.1%,Independent
15,Thangapandian.R,786,0.1%,Independent
16,Kuppuraj C,627,0.1%,Independent
17,Sudharshnar.K,592,0.1%,Independent
18,Balasubramani.R,553,0.1%,Ulzaipali Makkal Katchy
