"Position","Candidate Name","Votes","Votes %","Party"
1,Arjun Ram Meghwal,584932,62.9%,Bharatiya Janta Party
2,Er. Shankar Pannu,276853,29.8%,Indian National Congress
3,Mangilal Nayak,16839,1.8%,National Unionist Zamindara Party
4,Dr. Gauri Shanker Daabi,14148,1.5%,Aam Aadmi Party
5,Bhanwar Lal,11387,1.2%,Bahujan Samaj Party
6,Jagdish Kumar Nayak,5164,0.6%,Independent
7,Gopal Balmiki,4398,0.5%,Independent
8,Ram Ratan Meghwal,2538,0.3%,Bahujan Mukti Party
