"Position","Candidate Name","Votes","Votes %","Party"
1,Raj Kumar Singh,391074,43.8%,Bharatiya Janta Party
2,Sribhagwan Singh Kushwaha,255204,28.6%,Rashtriya Janata Dal
3,Raju Yadav,98805,11.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
4,Meena Singh,75962,8.5%,Janata Dal (United)
5,Bharat Bhushan Pandey,10950,1.2%,Akhil Bharatiya Jan Sangh
6,Ramesh Chandra Badal,7637,0.9%,Bahujan Samaj Party
7,Dr. Surendra Kumar Prasad,7518,0.8%,Aam Aadmi Party
8,Ashok Ram,7305,0.8%,Independent
9,Baijnath Yadav,6886,0.8%,Bahujan Mukti Party
10,Gopal Singh,5879,0.7%,Independent
11,Shambhu Prasad Sharma,5680,0.6%,Hindustan Vikas Dal
12,Shankar Dayal Paswan,5610,0.6%,Independent
