"Position","Candidate Name","Votes","Votes %","Party"
1,Jeyasingh Thiyagaraj Natterjee.J,366052,39.9%,All India Anna Dravida Munnetra Kazhagam
2,Jegan. P,242050,26.4%,Dravida Munetra Kazhagam
3,Joel. S,182191,19.9%,Marumalarchi Dravida Munnetra Kazhagam
4,Shanmugam A.P.C.V.,63080,6.9%,Indian National Congress
5,Pushparayan.M.,26476,2.9%,Aam Aadmi Party
6,Mohanraj. A,14993,1.6%,Communist Party Of India
7,Ayyadurai. S,3205,0.3%,Bahujan Samaj Party
8,Alwarsamy Karthikeyan.L,1727,0.2%,Independent
9,Samuel. A.S.,1157,0.1%,Independent
10,Panneerselvam.C,1129,0.1%,Independent
11,Vinston Anto. S,983,0.1%,Independent
12,Ramkumar. V,784,0.1%,Independent
13,Santhadevi. S,765,0.1%,Independent
14,Anandharaj M.,739,0.1%,Independent
