"Position","Candidate Name","Votes","Votes %","Party"
1,Rathod Dipsinh Shankarsinh,552205,50.5%,Bharatiya Janta Party
2,Shankersinh Vaghela Bapu,467750,42.8%,Indian National Congress
3,Bhambhi Chandubhai Mulchandbhai,16665,1.5%,Bahujan Samaj Party
4,Solanki Chhaganbhai Kevalabhai,9795,0.9%,Independent
5,Patel Bhogilal Haribhai,9046,0.8%,Bharatiya National Janta Dal
6,Velani Shantilal Karamshi,6816,0.6%,Independent
7,Balusingh Somansingh Narve,3527,0.3%,Independent
8,Shekh Arif Khan,2314,0.2%,Samajwadi Party
9,Patel Purusottambhai Ambalal,1876,0.2%,Independent
10,Patel Ishwarbhai Sakraji,1674,0.2%,Independent
