"Position","Candidate Name","Votes","Votes %","Party"
1,Naramalli Sivaprasad,594862,49.6%,Telugu Desam
2,G.Samanyakiran,550724,45.9%,Yuvajana Sramika Rythu Congress Party
3,Dr.B.Rajagopal,16572,1.4%,Indian National Congress
4,Jithendra Kumar.Dhandu,15897,1.3%,Bahujan Samaj Party
5,P. Pushpa Raj,5740,0.5%,Jai Samaikyandhra Party
6,S. Anjappa,4321,0.4%,Independent
7,Udaya C.S,3803,0.3%,Pyramid Party Of India
