"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Bhamre Subhash Ramrao,529450,53.9%,Bharatiya Janta Party
2,Amrishbhai Rasiklal Patel,398727,40.6%,Indian National Congress
3,Ishi Yogesh Yashwant,9897,1.0%,Bahujan Samaj Party
4,Ansari Nihal Ah. Mohd. Haroon,9339,0.9%,Aam Aadmi Party
5,Ramesh Ragho More,8057,0.8%,Independent
6,Dr Bhupesh Prakash Patil,6117,0.6%,Independent
7,Sayyad Salim Sayyad Alim,5278,0.5%,Independent
8,Deore Mahendra Tryambak,2091,0.2%,Independent
9,Sayyad Mohammad Qayam,1600,0.2%,Independent
10,Pinjari Jaynuddin Husen,1545,0.2%,Independent
11,Jafar Bapuji Pathan,1355,0.1%,Independent
12,Sambhaji Devidas Patil,1149,0.1%,Bahujan Mukti Party
13,Nihal Ah.Ab.Raheman Danewala,1148,0.1%,Samajwadi Party
14,Abdul Hamid Shaikh Habib,914,0.1%,Independent
15,Jagdane Ramesh Soma,828,0.1%,Maharashtra Parivartan Sena (T)
16,Mahemood Bhaijaan,792,0.1%,Awami Vikas Party
17,Gazi Atezad Mubeen Khan,788,0.1%,Independent
18,Shaikh Mukhatar Ah. Mo. Qasim,765,0.1%,Welfare Party Of India
19,Mo. Ismail Jumman,740,0.1%,Independent
