"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. J. Jayavardhan,438404,40.5%,All India Anna Dravida Munnetra Kazhagam
2,T.K.S.Elangovan,301779,27.9%,Dravida Munetra Kazhagam
3,La.Ganesan,256786,23.8%,Bharatiya Janta Party
4,S.V. Ramani,24420,2.3%,Indian National Congress
5,Jahir Hussain. M,17312,1.6%,Aam Aadmi Party
6,A. Jaiganesh,4501,0.4%,Lok Satta Party
7,Ganesan S,1730,0.2%,Socialist Unity Centre Of India (COMMUNIST)
8,K.R.Ramaswamy@traffic Ramaswamy,1670,0.2%,Independent
9,V. Balaji,1540,0.1%,Bahujan Samaj Party
10,S. Seethalakshmi,1303,0.1%,Tamil Nadu Makkal Congress
11,T.K. Ramajayam,1194,0.1%,Independent
12,A. Irudayadass,963,0.1%,Independent
13,Kanthavel D,878,0.1%,Independent
14,S. Pragasam,648,0.1%,Independent
15,T. Ponnusamy,539,0.0%,Independent
16,(KUPPAL)G.DEVADOSS,514,0.0%,Independent
17,K. Shankar,504,0.0%,Independent
18,Colonel Kadar Basha,434,0.0%,Independent
19,S. Balamurali,420,0.0%,Independent
20,S.S.Radhakrishnan,376,0.0%,Independent
21,R. Kandasamy@babu,374,0.0%,Ambedkar People's Movement
22,T. Dhanasekar,332,0.0%,National Organisation Congress
23,K. Mani,275,0.0%,Janata Dal (United)
24,Pon. Siva Kumar,274,0.0%,Independent
25,J.S. Mahalingam,269,0.0%,Independent
26,S. Balu,264,0.0%,Independent
27,S. Charumathi,261,0.0%,Independent
28,Bhavani Janakiram,247,0.0%,Independent
29,Joseph Gunasekar,245,0.0%,Independent
30,B. Kumar Sri Sri,236,0.0%,Independent
31,S. Devadoss,235,0.0%,Independent
32,M. Arumugam,219,0.0%,Independent
33,R. Ravichandran,216,0.0%,Independent
34,S. Sesu Raj,201,0.0%,Independent
35,M. Jayaraman,194,0.0%,Independent
36,Thangaraj,189,0.0%,Independent
37,S. Parthiban,175,0.0%,Independent
38,S. Rajeshwari,155,0.0%,Independent
39,Rajini Nivetha,142,0.0%,Independent
40,A. Magesh,121,0.0%,Independent
41,Loganathan,117,0.0%,Independent
42,S. Veeramani,105,0.0%,Independent
