"Position","Candidate Name","Votes","Votes %","Party"
1,Rajesh Ranjan @ Pappu Yadav,368937,35.7%,Rashtriya Janata Dal
2,Sharad Yadav,312728,30.2%,Janata Dal (United)
3,Vijay Kumar Singh,252534,24.4%,Bharatiya Janta Party
4,Guljar Kumar,18084,1.7%,Bahujan Samaj Party
5,Rajo Sah,12247,1.2%,Independent
6,Mohammad Arshad Hussain,9585,0.9%,Peace Party
7,Anwar Alam,9538,0.9%,Aam Aadmi Party
8,Mina Devi,9039,0.9%,Independent
9,Bhikha Paswan,6649,0.6%,Bharat Vikas Morcha
10,Prasanna Kumar,5370,0.5%,Independent
11,Sajan Kumar Jha,4396,0.4%,Jai Maha Bharath Party
12,Chandrashekhar Yadav,3768,0.4%,Bahujan Mukti Party
