"Position","Candidate Name","Votes","Votes %","Party"
1,Rama Kishore Singh,305450,33.0%,Lok Jan Shakti Party
2,Raghuvansh Prasad Singh,206183,22.3%,Rashtriya Janata Dal
3,Vijay Kumar Sahni,145182,15.7%,Janata Dal (United)
4,Anu Shukla,104229,11.3%,Independent
5,Shankar Mahto,23677,2.6%,Bahujan Samaj Party
6,Dr. Mohammad Nabi Hassan,22455,2.4%,Independent
7,Balendra Singh,15178,1.6%,Independent
8,Jitendra Prasad,12369,1.3%,Independent
9,Ranjeet Kumar Jha,11540,1.2%,Independent
10,Md.Hasib,11075,1.2%,Rashtriya Samanta Dal
11,Mohammad Umar Ansari,8254,0.9%,Independent
12,Raaj Mangal Prasad,7768,0.8%,Aam Aadmi Party
13,Ram Pukar Rai,7182,0.8%,Independent
14,Vinod Pandit,6430,0.7%,Lokpriya Samaj Party
15,Mukesh Ram,5497,0.6%,Rashtriya Krantikari Samajwadi Party
16,Rameshwar Sah,5483,0.6%,Independent
17,Indradeo Roy,5218,0.6%,Socialist Unity Centre Of India (COMMUNIST)
18,Parmeshwar Ram,4000,0.4%,Bahujan Mukti Party
19,Md. Naushad,3866,0.4%,Vanchitsamaj Insaaf Party
20,Jaynarayan Sah,3191,0.3%,Bajjikanchal Vikas Party
21,Sandhya Devi,2983,0.3%,Independent
22,Lalji Kumar Rakesh,2667,0.3%,Independent
