"Position","Candidate Name","Votes","Votes %","Party"
1,Selvakumara Chinnayan S,466995,46.3%,All India Anna Dravida Munnetra Kazhagam
2,Ganeshamurthi.A,255432,25.3%,Marumalarchi Dravida Munnetra Kazhagam
3,Pavithravalli H,217260,21.5%,Dravida Munetra Kazhagam
4,Gopi P,26726,2.6%,Indian National Congress
5,Vijayakumar S,7478,0.7%,Independent
6,Sethupathy,5917,0.6%,Bahujan Samaj Party
7,Kumarasamy K.K,4654,0.5%,Aam Aadmi Party
8,Rajagopal V,1969,0.2%,Independent
9,Mayilsamy K,1592,0.2%,Independent
10,Gunasekaran T.K,1298,0.1%,United Communist Party Of India
11,Murugesan_s,1046,0.1%,Independent
12,Thangaraj V,818,0.1%,Independent
13,Duraisamy.A,610,0.1%,Independent
14,Palaniappan Josiyar C.M,519,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
