"Position","Candidate Name","Votes","Votes %","Party"
1,Dilip Patel,490829,50.6%,Bharatiya Janta Party
2,Solanki Bharatbhai Madhavsinh,427403,44.0%,Indian National Congress
3,Vahora Firojbhai Walimahamadbhai (KASORWALA),6689,0.7%,Independent
4,Pursottambhai Alias Kanubhai Mathurbhai Chauhan,6480,0.7%,Bahujan Samaj Party
5,Vaghela Bharat P,4022,0.4%,Independent
6,Girishbhai Das (ADVOCATE),4003,0.4%,Bahujan Mukti Party
7,Rabari Hiteshkumar Laljibhai,2975,0.3%,Independent
8,Ravjibhai S Parmar,2442,0.3%,Aam Aadmi Party
9,Mahida Mahendrasinh Sahebsinh,1790,0.2%,Samajwadi Party
10,Patel Dilipbhai Manilal,1466,0.2%,Independent
11,Patel Jayeshbhai Arvindbhai,1459,0.2%,Independent
12,Parmar Amarsinh Dahyabhai,1265,0.1%,Independent
13,Hitendrasinh Mohansinh Parmar,1260,0.1%,Bharatiya National Janta Dal
14,Patel Naineshkumar Umedbhai,1063,0.1%,Independent
15,Padhiyar Vikramsinh (VAKIL),876,0.1%,Rashtriya Samaj Paksha
