"Position","Candidate Name","Votes","Votes %","Party"
1,Senguttuvan B.,383719,39.4%,All India Anna Dravida Munnetra Kazhagam
2,Shanmugam A.C.,324326,33.3%,Bharatiya Janta Party
3,Abdul Rahman M.,205896,21.1%,Indian Union Muslim League
4,Vijay Elanchezian J.,21650,2.2%,Indian National Congress
5,Gopu C.,6056,0.6%,Independent
6,Govindan C.,4169,0.4%,Independent
7,Imdad Shariff A.,3742,0.4%,Aam Aadmi Party
8,Sivaprakasam R.S.,3603,0.4%,Independent
9,Jayaprakash,2791,0.3%,Bahujan Samaj Party
10,Kesavan M.,1708,0.2%,Independent
11,Thirupathy T.,1293,0.1%,Independent
12,Abdul Rahman B.,1052,0.1%,Independent
13,Gangadaran K.,991,0.1%,Independent
14,Sugumar K.,828,0.1%,Independent
15,Eswaran R.,790,0.1%,Independent
16,Venkatesan R.,764,0.1%,Independent
17,Nandha Kumar V.,745,0.1%,Samajwadi Party
18,Abdul Rahman N.,581,0.1%,Independent
19,Lalitha K.,561,0.1%,Independent
20,Dhandapani M.,558,0.1%,Independent
21,Shareef Basha H.,496,0.1%,Samata Party
22,George V.A.,491,0.1%,Bharatiya Dr. B.R.Ambedkar Janta Party
23,Manimaran M.,430,0.0%,Independent
23,Gangadharan K.,430,0.0%,Tamil Nadu Makkal Congress
