"Position","Candidate Name","Votes","Votes %","Party"
1,Poonam Mahajan Alias Poonam Vajendla Rao,478535,56.6%,Bharatiya Janta Party
2,Dutt Priya Sunil,291764,34.5%,Indian National Congress
3,Phiroze Palkhivala,34824,4.1%,Aam Aadmi Party
4,Shinde Anand Vyankatrao,10128,1.2%,Bahujan Samaj Party
5,Abu Farhan Azmi,9873,1.2%,Samajwadi Party
6,Azimuddin Khan,2099,0.2%,The Lok Party Of India
7,Shital Kumar Jain,1380,0.2%,Independent
8,Dinesh Phulsing Rathod,1261,0.1%,Independent
9,Minakshi Mukund Jadhav,1022,0.1%,Independent
10,Suresh Giga Dabhi,872,0.1%,Independent
11,Gupta Kanhaiyalal Rajaram,858,0.1%,Independent
12,Chawan Suryakant Gangaram,787,0.1%,Independent
13,Birje Hemant Anant,693,0.1%,All India Forward Bloc
14,Umesh Sonba Avhad,657,0.1%,Maharashtra Parivartan Sena (T)
15,Francis Lawrence Fernandes,653,0.1%,Independent
16,Sanju Verma,626,0.1%,Independent
17,Meher A. Mallick,588,0.1%,Bahujan Mukti Party
18,Ashok Kisan Lokhande,581,0.1%,Republican Party Of India
19,Niyaz Ahmed Allauddin Shaikh,512,0.1%,Awami Vikas Party
20,Upesh M. Baria,334,0.0%,Independent
21,Mohammed Rafik Hussain Shaikh,308,0.0%,National Loktantrik Party
