"Position","Candidate Name","Votes","Votes %","Party"
1,Dharmendra Yadav,498378,48.5%,Samajwadi Party
2,Vagish Pathak,332031,32.3%,Bharatiya Janta Party
3,Akmal Khan Urf Chaman,156973,15.3%,Bahujan Samaj Party
4,Paglanand,5748,0.6%,Mahan Dal
5,Munshi Lal,5651,0.5%,Independent
6,Atul Kumar,4195,0.4%,Independent
7,Har Bhagwan,4083,0.4%,Independent
8,Ajeet Pal Singh,3421,0.3%,Peace Party
9,Hema Mehra,2861,0.3%,Aam Aadmi Party
10,Reena,2065,0.2%,Rashtriya Samanta Dal
11,Anil Kumar Sharma,1993,0.2%,Labour Party Of India (V.V. Prasad)
12,Santosh Kumar Gupta (SATYMARGI),1448,0.1%,Republican Party Of India (A)
13,Mahendra Pal,860,0.1%,Bhartiya Shakti Chetna Party
14,Virendra Pal Gupta,810,0.1%,Rashtravadi Janata Party
15,Madan Lal,791,0.1%,National Party
