"Position","Candidate Name","Votes","Votes %","Party"
1,Jadhav Prataprao Ganpatrao,509145,52.0%,Shiv Sena
2,Ingle Krushanarao Ganpatrao,349566,35.7%,Nationalist Congress Party
3,Abdul Hafeez Abdul Aziz,33783,3.5%,Bahujan Samaj Party
4,Balasaheb Shankar Darade,29793,3.0%,Independent
5,Sandesh Ashok Ambedkar,7927,0.8%,Bahujan Mukti Party
6,Parmeshwar Hiraman Gawai,6983,0.7%,Ambedkarist Republican Party
7,Namdeo Pundlik Dongardive,6959,0.7%,Independent
8,Sanjay Mahadev Wankhade,4520,0.5%,Independent
9,Sudhir Baban Surve,3429,0.4%,Aam Aadmi Party
10,Vasantrao Sukhdev Dandage,2750,0.3%,Samajwadi Party
11,Adv. Ravindra Dnyandeo Bhojane,2448,0.3%,Ambedkarite Party Of India
12,Commander (RTD) ASHOK RAUT,2077,0.2%,Independent
13,Sambare Dinkar Tukaram,2006,0.2%,Independent
14,Chinchole Gangaram Kaluji,1917,0.2%,Independent
15,Krushnarao Ingle,1787,0.2%,Independent
16,Smt. Prabhatai Madhukar Parlewar,1725,0.2%,Narayani Sena
17,Ravindrasing Ramsing Pawar,1265,0.1%,Lok Bharati
