"Position","Candidate Name","Votes","Votes %","Party"
1,Adv.Joice George,382019,46.6%,Independent
2,Adv.Dean Kuriakose,331477,40.4%,Indian National Congress
3,Adv.Sabu Varghese,50438,6.2%,Bharatiya Janta Party
4,Silvi Sunil,11215,1.4%,Aam Aadmi Party
5,Muhammed Sharafudheen,10401,1.3%,Social Democratic Party Of India
6,Joyce George,6024,0.7%,Independent
7,T.K.Tomy,3971,0.5%,Communist Party Of India (Marxist-Leninist) Red Star
8,Joice George,3057,0.4%,Independent
9,Appanchira Ponnappan,2477,0.3%,Bahujan Samaj Party
10,Somini Prabhakaran,1925,0.2%,Independent
11,Shoby Joseph,1179,0.1%,Independent
12,James Joseph,1158,0.1%,Independent
13,Anish Mariyil,629,0.1%,Independent
14,P.C.Jolly,550,0.1%,Independent
15,Biju Joseph,493,0.1%,Independent
16,Adv.Chittoor Rajamannar,415,0.1%,Independent
