"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Satya Pal Singh,423475,42.2%,Bharatiya Janta Party
2,Ghulam Mohammed,213609,21.3%,Samajwadi Party
3,Ajit Singh,199516,19.9%,Rashtriya Lok Dal
4,Prashant Chaudhri,141743,14.1%,Bahujan Samaj Party
5,Somendar Dhaka,5828,0.6%,Aam Aadmi Party
6,Jaivindra Kumar,3915,0.4%,Independent
7,Anil Kumar,3025,0.3%,Peace Party
8,Nishant,2708,0.3%,Independent
9,Ruksana,2092,0.2%,Independent
10,Subhash Chand Kashyap,1967,0.2%,Independent
11,Arvind,992,0.1%,Independent
12,Krishan Pal,601,0.1%,Naitik Party
13,Yunush,441,0.0%,Navbharat Nirman Party
14,Ajay Pal,440,0.0%,Independent
