"Position","Candidate Name","Votes","Votes %","Party"
1,Gandhi Dilipkumar Mansukhlal,605185,57.0%,Bharatiya Janta Party
2,Rajeev Appasaheb Rajale,396063,37.3%,Nationalist Congress Party
3,Kolsepatil Baban Gangadhar,12683,1.2%,Independent
4,Kakade Kisan Yashwant,8386,0.8%,Bahujan Samaj Party
5,Deepali Sayyed,7120,0.7%,Aam Aadmi Party
6,H.B.P. Ajay Sahebrao Baraskar Maharaj,6003,0.6%,Bahujan Mukti Party
7,Shridhar Jakhuji Darekar,5649,0.5%,Independent
8,Laxman Bhanudas Sonale,3497,0.3%,Independent
9,Anil Jaysing Ghanvat,3086,0.3%,Independent
10,Petras Kisan Gaware,2525,0.2%,Independent
11,Deshmukh Vikas Nanasaheb,2202,0.2%,Independent
12,Damale Shivajirao Waman,1385,0.1%,Bhartiya Navjawan Sena (Paksha)
13,Popat Manik Fule,1061,0.1%,Maharashtra Parivartan Sena (T)
