"Position","Candidate Name","Votes","Votes %","Party"
1,Muddahanumegowda.S.P.,429868,39.0%,Indian National Congress
2,G.S.Basavaraj,355827,32.3%,Bharatiya Janta Party
3,A.Krishnappa,258683,23.5%,Janata Dal (Secular)
4,Chinnappa.V,10448,0.9%,Communist Party Of India
5,A.S.D'silva,8322,0.8%,Aam Aadmi Party
6,S.B.Hanumantharayappa,6301,0.6%,Independent
7,Nilufar Jamani Ahmed,4732,0.4%,Bahujan Samaj Party
8,B.Venkatesha,2390,0.2%,Karunaadu Party
9,K.V.Srinivas Kalkere,2195,0.2%,Independent
10,Shivakumar,1674,0.2%,Independent
11,Brahmananda Reddy,1672,0.2%,Independent
12,H.L.Mohan Kumar,1528,0.1%,Hindustan Janata Party
13,L.P.Yadunandana,1508,0.1%,Independent
14,Anwar,1245,0.1%,Independent
15,G.Nagendra,1094,0.1%,Independent
16,Govindarju.G,1063,0.1%,Independent
