"Position","Candidate Name","Votes","Votes %","Party"
1,Niranjan Jyoti,485994,46.0%,Bharatiya Janta Party
2,Afzal Siddiqui,298788,28.3%,Bahujan Samaj Party
3,Rakesh Sachan,179724,17.0%,Samajwadi Party
4,Usha Maurya,46588,4.4%,Indian National Congress
5,Ramkrishna Tripathi,7578,0.7%,All India Trinamool Congress
6,Sridevi,5838,0.6%,Independent
7,Ranjana Kakkar,5448,0.5%,Independent
8,Ashok Mishra,3029,0.3%,Samtawadi Republican Party
9,Chandrabhan Singh,2498,0.2%,Independent
10,Zainul Abdin,2454,0.2%,Aam Aadmi Party
11,Ramlochan Sen,2173,0.2%,Bahujan Mukti Party
12,Arvind Kumar,1967,0.2%,Independent
13,Mohammad Javed,1657,0.2%,Nav Bharat Democratic Party
14,Rukmini Devi Nishad,1345,0.1%,Pragatisheel Manav Samaj Party
