"Position","Candidate Name","Votes","Votes %","Party"
1,Rajeev Shankarrao Satav,467397,44.5%,Indian National Congress
2,Wankhede Subhash Bapurao,465765,44.3%,Shiv Sena
3,Jadhav Chunnilal Mohan,25145,2.4%,Bahujan Samaj Party
4,D.B.Naik,14986,1.4%,Communist Party Of India (MARXIST)
5,Uttamrao Pandurang Rathod,9770,0.9%,Bahujan Mukti Party
6,Ramrao Harising Rathod,9577,0.9%,Bharipa Bahujan Mahasangh
7,Dhabe Uttam Maroti,7878,0.7%,Independent
8,Wankhede Subhash Nagorao,6284,0.6%,Janata Dal (United)
9,Wankhede Subhash,6157,0.6%,Independent
10,Satav Atmaram Raghoji,5000,0.5%,Independent
11,Principal Dr.Vithal Namdeorao Kadam,3729,0.4%,Aam Aadmi Party
12,Satav Raju Shankar,3522,0.3%,Independent
13,Devji Gangaram Asole,3165,0.3%,Independent
14,Shaikh Nayeem Shaikh Lal,2514,0.2%,Samajwadi Party
15,Bharose Anant Ramrao,2506,0.2%,Independent
16,Ghunnar Prakash Vitthalrao,2497,0.2%,Independent
17,Deshmukh Balasaheb Desai,2154,0.2%,Independent
18,Uttam Rathod,2147,0.2%,Independent
19,Naikwade Digambar Gunaji,2049,0.2%,Independent
20,Desai Pandurang Devrao,1675,0.2%,Janata Dal (Secular)
21,Santosh Namdeorao Sagne,1526,0.1%,Awami Vikas Party
22,Suraj Vishwanath Kondarwad,1322,0.1%,Independent
23,Suryawanshi Ashok Bhagwanrao,1292,0.1%,Independent
