"Position","Candidate Name","Votes","Votes %","Party"
1,Idris Ali,492326,38.7%,All India Trinamool Congress
2,Nurul Huda,382667,30.0%,Communist Party Of India
3,Samik Bhattacharya,233887,18.4%,Bharatiya Janta Party
4,Abdur Rahim Quazi,102130,8.0%,Indian National Congress
5,Chowdhury Siddiqullah,25178,2.0%,All India United Democratic Front
6,Ranjit Gayen,8088,0.6%,Independent
7,Gopal Das,7016,0.6%,Bahujan Samaj Party
8,Ajay Kumar Bain,6532,0.5%,Socialist Unity Centre Of India (COMMUNIST)
9,Md. Hafiz,5976,0.5%,Independent
