"Position","Candidate Name","Votes","Votes %","Party"
1,Uday Pratap Singh,669128,64.9%,Bharatiya Janta Party
2,Devendra Patel Guddu Bhaiya,279168,27.1%,Indian National Congress
3,Maya Vishwakarma,17837,1.7%,Aam Aadmi Party
4,Pradeep Ahirwar,14154,1.4%,Bahujan Samaj Party
5,Devendra Patel Urf Gudda Bhaiyya,13412,1.3%,Independent
6,Mukesh Babu Ahirwar,7132,0.7%,Independent
7,Uday Pratap Singh,6378,0.6%,Independent
8,Jay Prakash Patel,5225,0.5%,Gondvana Gantantra Party
