"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Harsh Vardhan,437938,44.6%,Bharatiya Janta Party
2,Ashutosh,301618,30.7%,Aam Aadmi Party
3,Kapil Sibal,176206,17.9%,Indian National Congress
4,Dildar Hussain Beg,28605,2.9%,Independent
5,Narendra Kumar Pandey,7746,0.8%,Bahujan Samaj Party
6,Ashutosh,4504,0.5%,Independent
7,Hariom Sharma,3531,0.4%,All India Trinamool Congress
8,Sanjay Gandhi,3390,0.3%,Braj Vikas Party
9,Vijay Shanker Chaubey,1829,0.2%,Independent
10,Abdul Amir Amiro,1765,0.2%,Independent
11,Ajay Kumar Khemka,1643,0.2%,Kalyankari Jantantrik Party
12,Jagmohan Singh Bakshi,1553,0.2%,Atulya Bharat Party
13,Gagan Rastogi,1424,0.1%,Independent
14,Bir Singh Soni,881,0.1%,Independent
15,Surender Singh,789,0.1%,Independent
16,Balram Bari,602,0.1%,Independent
17,Musarrat Jahan,592,0.1%,Rashtriya Janmorcha
18,Rashmi Kashyap,538,0.1%,Bhartiya Pragatisheel Congress
18,Mohd. Mursaleem,538,0.1%,Peace Party
20,Dhan Raj Chauhan,308,0.0%,Naya Daur Party
21,Jagjeet Singh,290,0.0%,Bharatiya Gaon Taj Dal
22,Altaf Husain,272,0.0%,Bhartiya Janta Dal (Integrated)
23,Dr. Tarun Kumar,263,0.0%,Vishva Shakti Party
24,Tariq Mirza,253,0.0%,Republican Party Of India (A)
25,Md. Afaq,251,0.0%,Jai Maha Bharath Party
