"Position","Candidate Name","Votes","Votes %","Party"
1,Manoj Sinha,306929,31.1%,Bharatiya Janta Party
2,Smt Shivkanya Kushwaha,274477,27.8%,Samajwadi Party
3,Kailash Nath Singh Yadav,241645,24.5%,Bahujan Samaj Party
4,Dharm Yadav Alias D.P.Yadav,59510,6.0%,Rashtriya Parivartan Dal
5,Arun Kumar Singh,34093,3.5%,Independent
6,Mo. Maksud Khan,18908,1.9%,Indian National Congress
7,Brij Bhushan,6925,0.7%,Aam Aadmi Party
8,Ishwari,6512,0.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Satya Dev Yadav,6381,0.6%,Naitik Party
10,Kuber,4889,0.5%,Independent
11,Ishwar Dev,4019,0.4%,Adarsh Rashtriya Vikas Party
12,Pappu,3585,0.4%,Eklavya Samaj Party
13,Rajendra Nath Ram,3468,0.4%,Bahujan Mukti Party
14,Bharat,2484,0.3%,Janta Raj Party
15,Omkar Chauhan,2416,0.2%,Janvadi Party(Socialist)
16,Deendayal,2122,0.2%,Pragatisheel Manav Samaj Party
17,Lakshaman,1588,0.2%,Independent
18,Gupteshwar,1111,0.1%,Lok Dal
