"Position","Candidate Name","Votes","Votes %","Party"
1,Nagarajan P.,431717,36.7%,All India Anna Dravida Munnetra Kazhagam
2,Radhakrishnan C.P.,389701,33.1%,Bharatiya Janta Party
3,Ganeshkumar K.,217083,18.4%,Dravida Munetra Kazhagam
4,Prabhu R.,56962,4.8%,Indian National Congress
5,Natarajan P.R.,34197,2.9%,Communist Party Of India (MARXIST)
6,Pon Chandran.,6680,0.6%,Aam Aadmi Party
7,Kanagasabapathy G.,2329,0.2%,Independent
8,Kittusamy P.,2122,0.2%,Independent
9,Tamilnadu Selvam Era.,1959,0.2%,Bahujan Samaj Party
10,Subash K.R.,1756,0.1%,Independent
11,Nagaraj S.,1699,0.1%,Independent
12,Radhakrishnan R.,1672,0.1%,Independent
13,Chandran D.,1360,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
14,Alphonesraj M.,1306,0.1%,Independent
15,Rajagopal M.,1232,0.1%,Independent
16,Ranjithkumar M.,1100,0.1%,Independent
17,Kalapirar Kuppusamy C.,1051,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
18,Jerlld Amalajothi I.,858,0.1%,Independent
19,Anbuselvan.,799,0.1%,Independent
20,Abdul Salam A.,766,0.1%,Independent
21,Tamilselvan K.,640,0.1%,Independent
22,Mohanraj K.,607,0.1%,Independent
23,Jagadeeswaran S.,596,0.1%,Ulzaipali Makkal Katchy
24,Doraisamy A.,550,0.0%,Makkal Manadu Katchi
25,Sridharan S.,450,0.0%,Independent
