"Position","Candidate Name","Votes","Votes %","Party"
1,Ajay Tamta,348186,53.0%,Bharatiya Janta Party
2,Pradeep Tamta,252496,38.5%,Indian National Congress
3,Bahadur Ram Dhauni,14150,2.2%,Bahujan Samaj Party
4,Sajjan Lal Tamta,8387,1.3%,Independent
5,Harish Chandra Arya,7916,1.2%,Aam Aadmi Party
6,Bansi Ram,3857,0.6%,Independent
7,Vijay Kumar,2392,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Amar Prakash,2045,0.3%,Uttarakhand Parivartan Party
9,Bhagawati Prasad Trikoti,1851,0.3%,Samajwadi Party
