"Position","Candidate Name","Votes","Votes %","Party"
1,Jyotiraditya M Scindia,517036,52.9%,Indian National Congress
2,Jaibhansingh Pawaiya,396244,40.6%,Bharatiya Janta Party
3,Lakhan Singh Baghel,27412,2.8%,Bahujan Samaj Party
4,Lalli Ram Rai,5575,0.6%,Independent
5,Shailendra Singh Kushwah,4073,0.4%,Aam Aadmi Party
6,Girraj Yadav,3294,0.3%,Independent
7,Mahendra Kumar,2845,0.3%,Independent
8,Chandrapal Singh Tomar,2197,0.2%,Independent
9,Narayanrao Gupchup,2079,0.2%,Independent
10,Nand Kishore Tyagi,2072,0.2%,Independent
11,Anwar Khan,1321,0.1%,Independent
