"Position","Candidate Name","Votes","Votes %","Party"
1,Shobha Karandlaje,581168,56.2%,Bharatiya Janta Party
2,K Jayaprakash Hegde,399525,38.6%,Indian National Congress
3,V. Dhananjaya Kumar,14895,1.4%,Janata Dal (Secular)
4,S Vijaya Kumar,9691,0.9%,Communist Party Of India
5,Zakir Hussain,7449,0.7%,Bahujan Samaj Party
6,Gurudeva S H,6049,0.6%,Aam Aadmi Party
7,Srinivasa Poojary,1899,0.2%,Independent
8,Sudheer Kanchan,1689,0.2%,Independent
9,Comrade C J Jagannath,1612,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
10,M D Mainuddin Khan Alias Asfiya,1214,0.1%,Independent
11,Manjunatha G,1089,0.1%,Independent
