"Position","Candidate Name","Votes","Votes %","Party"
1,Malyadri Sriram,578145,48.8%,Telugu Desam
2,Varikuti Amruthapani,545391,46.0%,Yuvajana Sramika Rythu Congress Party
3,Panabaka Lakshmi,23072,1.9%,Indian National Congress
4,Yallamati Ramesh,8414,0.7%,Pyramid Party Of India
5,Dwarapalli Philip,8113,0.7%,Bahujan Samaj Party
6,Eda Chennaiah,3948,0.3%,Aam Aadmi Party
7,R.D.Wilson,3657,0.3%,Jai Samaikyandhra Party
8,Perli Prasanna Deevena Kumar (PRASANNA),2967,0.3%,Indian Labour Party (Ambedkar Phule)
9,Ratnababu Mamidi,1206,0.1%,Independent
10,Baburao Golla,823,0.1%,Independent
11,Gadde Thyagaraju,749,0.1%,Independent
12,Gogulamudi Narasimha Rao,720,0.1%,Independent
13,Bandela Nageswara Rao,668,0.1%,Independent
14,Nakkala Veeranjaneyulu,615,0.1%,Independent
