"Position","Candidate Name","Votes","Votes %","Party"
1,Brij Bhusan Sharan Singh,381500,40.4%,Bharatiya Janta Party
2,Vinod Kumar Alias Pandit Singh,303282,32.1%,Samajwadi Party
3,Krishna Kumar Ojha,146726,15.6%,Bahujan Samaj Party
4,Mukesh Srivastav Alias Gyanendra Pratap,57401,6.1%,Indian National Congress
5,Rampher Alias Chunti,11366,1.2%,Independent
6,Govind Prasad,5849,0.6%,Samyak Parivartan Party
7,Munni,5245,0.6%,Independent
8,Jameer Ahmad,3905,0.4%,Independent
9,Prahlad Nath Mishra,3867,0.4%,Independent
10,Rizwan Ahmad,3710,0.4%,Aam Aadmi Party
11,Nishant Kanchan,3246,0.3%,Independent
12,Nihaluddin Ahamad,2119,0.2%,All India Peoples' Front (Radical)
13,Chaman Lal Kasaundhan,1822,0.2%,Lok Dal
14,Nirhu,1466,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
