"Position","Candidate Name","Votes","Votes %","Party"
1,Aparupa Poddar (AFRIN ALI),748764,55.0%,All India Trinamool Congress
2,Saktimohan Malik,401919,29.5%,Communist Party Of India (MARXIST)
3,Madhusudan Bag,158480,11.6%,Bharatiya Janta Party
4,Sambhunath Malik,27872,2.0%,Indian National Congress
5,Ganesh Bag,7062,0.5%,Jharkhand Disom Party
