"Position","Candidate Name","Votes","Votes %","Party"
1,R. Radhakrishnan,255826,34.6%,All India N.R. Congress
2,V. Narayanasamy,194972,26.3%,Indian National Congress
3,M.V. Omalingam,132657,17.9%,All India Anna Dravida Munnetra Kazhagam
4,A.M.H. Nazeem,60580,8.2%,Dravida Munetra Kazhagam
5,R.K.R. Anantharaman,22754,3.1%,Pattali Makkal Katchi
6,R. Viswanathan,12709,1.7%,Communist Party Of India
7,Dr. V. Rangarajan,8307,1.1%,Aam Aadmi Party
8,Sanjivganthi .S,5896,0.8%,Independent
9,P. Asaravel,3472,0.5%,Independent
10,Professor M. Ramadass,2494,0.3%,Independent
11,S. Krishnamoorthy,2060,0.3%,Bahujan Samaj Party
12,S. Ezhilarasan,1777,0.2%,Independent
13,G. Shanmugam,1726,0.2%,Independent
14,Ramamurthi,1442,0.2%,Independent
15,M. Chittibabu,1340,0.2%,Independent
16,S. Sudarsanan,1270,0.2%,Independent
17,K. Ramadass,1236,0.2%,Independent
18,J. Dhandapani,1144,0.2%,Independent
19,K. Manjini,767,0.1%,Independent
20,Kaliayamurthy,747,0.1%,Independent
21,V. Vijaya,746,0.1%,Independent
22,P. Bakkiaraj,610,0.1%,Independent
23,R. Valavan,497,0.1%,Independent
24,I. Senthil Kumar,477,0.1%,Independent
25,G. Sutha,467,0.1%,Independent
26,Puvala Nageswara Rao,465,0.1%,Independent
27,G. Palani,438,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
28,Marie Uthrianathan,366,0.0%,Samata Party
29,S. Chitrakala,309,0.0%,Janata Dal (United)
30,P. Dhanarasu @ Mathimaharaja,198,0.0%,Independent
