"Position","Candidate Name","Votes","Votes %","Party"
1,Rabindra Kumar Jena,433768,41.3%,Biju Janata Dal
2,Pratap Chandra Sarangi,291943,27.8%,Bharatiya Janta Party
3,Shrikanta Kumar Jena,277517,26.4%,Indian National Congress
4,Prasanta Kumar Mishra,14538,1.4%,Communist Party Of India
5,Kartikeswar Patra,9856,0.9%,All India Trinamool Congress
6,Saroj Kumar Panda,4529,0.4%,Independent
7,Bichitra Nanda Das,3240,0.3%,Bahujan Samaj Party
8,Mamata Kundu,2664,0.3%,Aam Aadmi Party
9,Jagannath Das,1856,0.2%,Independent
10,Biswajit Ray,1823,0.2%,Independent
