"Position","Candidate Name","Votes","Votes %","Party"
1,Uma Saren,674504,53.6%,All India Trinamool Congress
2,Dr. Pulin Bihari Baske,326621,26.0%,Communist Party Of India (MARXIST)
3,Bikash Mudi,122459,9.7%,Bharatiya Janta Party
4,Anita Hansda,40513,3.2%,Indian National Congress
5,Buddhadeb Mandi,15114,1.2%,Jharkhand Mukti Morcha
6,Hiranmoy Majhi,8616,0.7%,Independent
7,Rampada Hansda,8478,0.7%,Amra Bangalee
8,Gomasta Prasad Soren,8364,0.7%,Akhil Bhartiya Jharkhand Party
9,Chunibala Hansda,7608,0.6%,Jharkhand Party (NOREN)
10,Subodh Kumar Mandi,7453,0.6%,Independent
11,Milan Mandi,6013,0.5%,Jharkhand Disom Party
12,Rajib Mudi,5058,0.4%,Socialist Unity Centre Of India (COMMUNIST)
13,Murari Mohan Baske,3877,0.3%,Jharkhand Anushilan Party
