"Position","Candidate Name","Votes","Votes %","Party"
1,Chirag Kumar Paswan,285354,36.8%,Lok Jan Shakti Party
2,Sudhansu Shekhar Bhaskar,199407,25.7%,Rashtriya Janata Dal
3,Uday Narain Choudhary,198599,25.6%,Janata Dal (United)
4,Brahmdev Anand Paswan,15008,1.9%,Bahujan Samaj Party
5,Upendra Ravidas,10748,1.4%,Jharkhand Mukti Morcha
6,Subhash Paswan,10452,1.3%,Independent
7,Manoj Kumar Manjhi,8360,1.1%,Independent
8,Dilip Kumar,7635,1.0%,Independent
9,Vinod Kumar Das,7159,0.9%,Aam Aadmi Party
10,Vishun Choudhary,7147,0.9%,Shiv Sena
11,Jay Prakash Das,6253,0.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
