"Position","Candidate Name","Votes","Votes %","Party"
1,Rodmal Nagar,596727,59.0%,Bharatiya Janta Party
2,Amlabe Narayan Singh,367990,36.4%,Indian National Congress
3,Dr.Shivnarayan Verma,13864,1.4%,Bahujan Samaj Party
4,Rod Ji,8818,0.9%,Independent
5,Dr.Prashant Tripathi,8699,0.9%,Aam Aadmi Party
6,Imamuddin Khan,4334,0.4%,Independent
