"Position","Candidate Name","Votes","Votes %","Party"
1,Chhotelal,378211,42.7%,Bharatiya Janta Party
2,Sharada Prasad,187725,21.2%,Bahujan Samaj Party
3,Pakaudi Lal Kol,135966,15.3%,Samajwadi Party
4,Bhagwati Prasad Chaudhary,86235,9.7%,Indian National Congress
5,Ashok Kumar Kannaoujiya,24363,2.8%,Communist Party Of India
6,Ravi Shankar Kannaujia,9913,1.1%,Aam Aadmi Party
7,Rambriksha,9408,1.1%,Independent
8,Lawrence Anthony,7703,0.9%,Independent
9,Shankar Kol,6101,0.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
10,Arun Singh(CHERO),5613,0.6%,Independent
11,Gun Devi ( GYANI DEVI),5307,0.6%,Quami Ekta Dal
12,S. R. Darapuri,4891,0.6%,All India Peoples' Front (Radical)
13,Rajkumar,2982,0.3%,Shoshit Sandesh Party
14,Mangoi,2966,0.3%,Bahujan Mukti Party
