"Position","Candidate Name","Votes","Votes %","Party"
1,Abhishek Banerjee,508481,40.3%,All India Trinamool Congress
2,Dr. Abul Hasnat,437183,34.7%,Communist Party Of India (MARXIST)
3,Abhijit Das (BOBBY),200858,15.9%,Bharatiya Janta Party
4,Md. Qamruzzaman Qamar,63047,5.0%,Indian National Congress
5,Sudip Kumar Saha,8740,0.7%,Independent
6,Sougata Ghosh,6634,0.5%,Independent
7,Sailen Sadhukhan,6633,0.5%,Independent
8,Bechu Mondal,3607,0.3%,Independent
9,Nazma Yasmeen,3272,0.3%,Welfare Party Of India
10,Dilip Kumar Mandal,2892,0.2%,Bahujan Samaj Party
11,Ajay Ghosh,2529,0.2%,Socialist Unity Centre Of India (COMMUNIST)
12,Jaynal Abedin Mondal,1856,0.1%,Indian Union Muslim League
13,Bijan Majumder,1348,0.1%,Independent
14,Samir Putatunda,1322,0.1%,Party For Democratic Socialism
15,Habibur Rahaman Molla,1260,0.1%,Rashtriya Janasachetan Party (R.J.P.)
16,Alok Sen,977,0.1%,Independent
