"Position","Candidate Name","Votes","Votes %","Party"
1,Rammohan Naidu Kinjarapu,556163,52.9%,Telugu Desam
2,Reddy Shanthi,428591,40.8%,Yuvajana Sramika Rythu Congress Party
3,Killi Kruparani,24163,2.3%,Indian National Congress
4,Paidi Raja Rao,11422,1.1%,Jai Samaikyandhra Party
5,Boddepalli Rajarao,8047,0.8%,Bahujan Samaj Party
6,Vasudeva Rao Boddu,5131,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Kadiyam Jayalakshmi,5021,0.5%,Pyramid Party Of India
8,Jaidev Injarapu,2557,0.2%,Aam Aadmi Party
9,Tota Tejeswara Rao,2144,0.2%,Independent
10,Kinjarapu Tejeswara Rao,2074,0.2%,Independent
