"Position","Candidate Name","Votes","Votes %","Party"
1,Appa Alias Shrirang Chandu Barne,512226,43.6%,Shiv Sena
2,Jagtap Laxmanbhau Pandurang,354829,30.2%,Peasants And Workers Party Of India
3,Narwekar Rahul Suresh,182293,15.5%,Nationalist Congress Party
4,Bhapkar Maruti Sahebrao,30566,2.6%,Aam Aadmi Party
5,Bhimaputra Texas Gaikwad,25982,2.2%,Bahujan Samaj Party
6,Barne Shrirang Chimaji,11259,1.0%,Janata Dal (United)
7,Gharat Santosh Rohidas,8940,0.8%,Bahujan Mukti Party
8,Jagtap Laxman Sitaram,8765,0.7%,Independent
9,Sir Manuel Sabino D'souza,4311,0.4%,Independent
10,Nanaware Pramod Mahadeo,4276,0.4%,Independent
11,Subhash Gopalrao Bodhe,3429,0.3%,Independent
12,Bhimrao Anna Kadale,2911,0.2%,Independent
13,Adv.Vaishali Surendra Borde,2536,0.2%,Independent
14,H.B.P.Adv.R.K.Patil,2336,0.2%,Independent
15,Nurjahan Yasin Shaikh,2024,0.2%,Independent
16,Rajendra Maruti Kate,2016,0.2%,Independent
17,Sima Dharmanna Manikadi,1765,0.2%,Prabuddha Republican Party
18,Jagtap Laxman Murlidhar,1600,0.1%,Independent
19,Abhijit Anil Apte,1085,0.1%,Independent
