"Position","Candidate Name","Votes","Votes %","Party"
1,D.V Sadananda Gowda,718326,52.9%,Bharatiya Janta Party
2,C.Narayana Swamy,488562,36.0%,Indian National Congress
3,Abdul Azeem,92681,6.8%,Janata Dal (Secular)
4,Babu Mathew,28107,2.1%,Aam Aadmi Party
5,V Velu,5586,0.4%,Bahujan Samaj Party
6,Sun Star D.Jayaram,3784,0.3%,Gareeb Aadmi Party
7,Sunil.V.J,1561,0.1%,Independent
8,S. Ramu,1131,0.1%,Independent
9,Mu.Venkatesh Simha Bhovi,1033,0.1%,Independent
10,Manohar H.A.,919,0.1%,Independent
11,T.S.Chaithanya (S.J.R),911,0.1%,Independent
12,Muthuraju. M,829,0.1%,Republican Party Of India (A)
13,Mohammed Qutbuddin,680,0.1%,Independent
14,Dr.Meerlayaq Hussain,612,0.0%,Independent
