"Position","Candidate Name","Votes","Votes %","Party"
1,Ashok Kumar.K,480491,45.0%,All India Anna Dravida Munnetra Kazhagam
2,Chinna Pillappa.P,273900,25.6%,Dravida Munetra Kazhagam
3,Mani.G.K,224963,21.1%,Pattali Makkal Katchi
4,Chellakumar. Dr. A,38885,3.6%,Indian National Congress
5,Chanbasha.M,8618,0.8%,Bahujan Samaj Party
6,Ashok Kumar.A,3875,0.4%,Independent
7,Sundaram.S,3665,0.3%,United Communist Party Of India
8,Gowda.Nsm,3033,0.3%,Janata Dal (Secular)
9,Saravanan.V,2737,0.3%,Independent
10,Virginiya Benatin Franciles,2530,0.2%,Independent
11,Vinothkumar.P,2261,0.2%,Independent
12,Muniraj.K,2135,0.2%,Ulzaipali Makkal Katchy
13,Pattabirama.C,2015,0.2%,Independent
14,Soundarajan.M,1744,0.2%,Independent
15,Gandhi.Tvs,1519,0.1%,Independent
