"Position","Candidate Name","Votes","Votes %","Party"
1,Kanwar Singh Tanwar,528880,48.3%,Bharatiya Janta Party
2,Humera Akhtar,370666,33.8%,Samajwadi Party
3,Farhat Hasan,162983,14.9%,Bahujan Samaj Party
4,Rakesh Tikait,9539,0.9%,Rashtriya Lok Dal
5,Syed Kalbe Rushaid Rizvi,2601,0.2%,Aam Aadmi Party
6,Naresh Kumar,2493,0.2%,Independent
7,Khajan Singh,2448,0.2%,Rashtriya Congress (Babu Jagjivanram)
8,Surendra Singh,2425,0.2%,Independent
9,Naresh Chand,1431,0.1%,Independent
10,Sarvesh Kumar Saini,980,0.1%,Shiv Sena
11,Husnein Razaa,858,0.1%,New All India Congress Party
12,Brajlal,837,0.1%,Bahujan Mukti Party
13,Rakesh,749,0.1%,Peace Party
14,Mahesh,713,0.1%,Republican Party Of India (A)
15,Rajpal,478,0.0%,Adarsh Rashtriya Vikas Party
