"Position","Candidate Name","Votes","Votes %","Party"
1,Chavan Harishchandra Deoram,542784,55.9%,Bharatiya Janta Party
2,Dr. Bharati Pravin Pawar,295165,30.4%,Nationalist Congress Party
3,Com. Hemant Motiram Waghere,72599,7.5%,Communist Party Of India (MARXIST)
4,Mali Sharad Sahebrao,17724,1.8%,Bahujan Samaj Party
5,Gaikwad Abhijeet Kalyanrao,10267,1.1%,Independent
6,Prabhat Chindhu Sonawane,5578,0.6%,Bharipa Bahujan Mahasangh
7,Ajitdada Bhika Pawar,5177,0.5%,Independent
8,Prof. Dnyaneshwar Damu Mali,4067,0.4%,Aam Aadmi Party
9,Kailas Sakharam More,3900,0.4%,Independent
10,Bharat Kisan Mate,2024,0.2%,Bahujan Mukti Party
