"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Virendra Kumar,422979,55.2%,Bharatiya Janta Party
2,Ahirwar Dr. Kamlesh Verma,214248,28.0%,Indian National Congress
3,Dr. Ambesh Kumari Ahirwar,47497,6.2%,Samajwadi Party
4,Ahirwar Sewak Ram,23975,3.1%,Bahujan Samaj Party
5,Khangar Neeraj,15194,2.0%,Communist Party Of India
6,Girdhari Lal Kori,5219,0.7%,Independent
7,Ramesh Chand Verma,4992,0.7%,Aam Aadmi Party
8,Lakhan Lal Chadhar,4548,0.6%,Independent
9,Bhagwan Das Banshkar,4400,0.6%,Independent
10,Chaturbhuj Snehi,4035,0.5%,Independent
11,Sheel Chandra Ahirwar,3855,0.5%,Independent
12,Ahirwar Ramcharan,3094,0.4%,Poorvanchal Rashtriya Congress
13,Ganesh Kumhar,2230,0.3%,Independent
