"Position","Candidate Name","Votes","Votes %","Party"
1,Mehbooba Mufti,200429,53.4%,Jammu & Kashmir Peoples Democratic Party
2,Mirza Mehboob Beg,135012,36.0%,Jammu & Kashmir National Conference
3,Tanveer Hussain Khan,7340,2.0%,Independent
4,Mushtaq Ahmad Malik,4720,1.3%,Bharatiya Janta Party
5,Syed Abid Ahmad Shah,4345,1.2%,J & K National Panthers Party
6,Abdul Ahad Mir,3439,0.9%,Independent
7,Mohammad Sharif,3312,0.9%,Bahujan Samaj Party
8,Mohd Yousif Ganie,3286,0.9%,Ambedkar Samaj Party
9,Dr. Tanvir Maqbool Dar,3252,0.9%,Aam Aadmi Party
10,Gh. Nabi Shah,1837,0.5%,Samajwadi Party
11,Mohammad Yaqoob Rather,1568,0.4%,All Jammu And Kashmir Republican Party
12,Asif Jeelani,803,0.2%,All India Forward Bloc
