"Position","Candidate Name","Votes","Votes %","Party"
1,Satish Chandra Dubey,364011,40.4%,Bharatiya Janta Party
2,Purnmasi Ram,246218,27.4%,Indian National Congress
3,Baidya Nath Prasad Mahato,81612,9.1%,Janata Dal (United)
4,Dilip Varma,58817,6.5%,Independent
5,Amar Sahani,35888,4.0%,Bharatiya Ekta Dal
6,Prof. Amaresh Prasad,27603,3.1%,Jharkhand Mukti Morcha
7,Virendra Prasad Gupta,12581,1.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Shailesh Kumar Diwakar,11668,1.3%,Bahujan Samaj Party
9,Manohar Manoj,11509,1.3%,Independent
10,Nandlal Ram,10781,1.2%,Independent
11,Dravyan Uraon,8013,0.9%,Independent
12,Dharmesh Prasad Varma,6008,0.7%,Aam Aadmi Party
13,Dactar Mahto,5519,0.6%,Janvadi Party(Socialist)
14,Om Shanti Baba,4371,0.5%,Independent
