"Position","Candidate Name","Votes","Votes %","Party"
1,Godse Hemant Tukaram,494735,52.8%,Shiv Sena
2,Chhagan Bhujbal,307399,32.8%,Nationalist Congress Party
3,Dr. Pradeep Pawar,63050,6.7%,Maharashtra Navnirman Sena
4,Dinkar Dharma Patil,20896,2.2%,Bahujan Samaj Party
5,Adv. Tanaji Sukdeo Jaibhave,17154,1.8%,Communist Party Of India (MARXIST)
6,Vijay Baliram Pandhare,9672,1.0%,Aam Aadmi Party
7,Fasale Baban Namdeo,3792,0.4%,Independent
8,Sarkate Devidas Piraji,3425,0.4%,Independent
9,Vishnu Ramdas Jadhav,1666,0.2%,Independent
10,Pramod Gyaniram Nathekar,1580,0.2%,Independent
11,Maksud Iliyas Khan,1253,0.1%,Independent
12,Avhad Mahesh Zunjar,1204,0.1%,All India Forward Bloc
13,Prakash Girdhar Kanoje,1121,0.1%,Independent
14,Pathan Sakhawatkha Yasinkha,845,0.1%,Bahujan Mukti Party
15,Pathan Ayub Maddekhan,697,0.1%,Indian Union Muslim League
