"Position","Candidate Name","Votes","Votes %","Party"
1,Shanta Kumar,456163,57.1%,Bharatiya Janta Party
2,Chander Kumar,286091,35.8%,Indian National Congress
3,Dr. Rajan Sushant,24430,3.1%,Aam Aadmi Party
4,Lal Hussain,5949,0.7%,Bahujan Samaj Party
5,Bhupinder Mehra,5585,0.7%,Independent
6,Prem Chand Vishvakarma,4106,0.5%,Independent
7,Arti Soni,3757,0.5%,Shiv Sena
8,Dr. Atul Thakur Bharmori,1133,0.1%,Independent
9,Dhani Ram,1085,0.1%,Independent
10,Baldev Raj,997,0.1%,Himachal Swabhiman Party
11,Parvesh Yadav,808,0.1%,Samajwadi Party
12,Raman Kumar,637,0.1%,Bahujan Mukti Party
