"Position","Candidate Name","Votes","Votes %","Party"
1,Danve Raosaheb Dadarao,591428,55.5%,Bharatiya Janta Party
2,Autade Vilas Keshavrao,384630,36.1%,Indian National Congress
3,Dr. Wankhede Sharadchandra Ganapatrao,23719,2.2%,Bahujan Samaj Party
4,M. Javed A. Wahab,7704,0.7%,Independent
5,Nade Dnyaneshwar Dagduji,6953,0.7%,Independent
6,Babasaheb Patil Shinde,6547,0.6%,Independent
7,Dilip Datta Mhaske,4622,0.4%,Aam Aadmi Party
8,Vitthal Sahebrao Shelke,4587,0.4%,Ambedkarite Party Of India
9,Kakarwal Pratapsing Mahajan,4237,0.4%,Independent
10,Agrawal Kunjbihari Jugalkishor,3469,0.3%,Samajwadi Party
11,Rambhau Haribhau Ugle,3283,0.3%,Rashtriya Sant Sandesh Party
12,Karande Ganesh Navnathrao,2874,0.3%,Independent
13,Mirza Afsar Beg,2467,0.2%,Welfare Party Of India
14,Rathod Ramesh Lalsing,2462,0.2%,Bahujan Mukti Party
15,Unge Rambhau Kundlik,2240,0.2%,Independent
16,Ad. Mahesh Vitthalrao Kharat,1967,0.2%,Independent
17,Ashok Vitthal Sonwane,1894,0.2%,Independent
18,Sanjay Nivrutti Hivrale,1821,0.2%,Ambedkar National Congress
19,Sayyad Husain Ahmad,1655,0.2%,Independent
20,Mohammad Asad Shaikh Ahemad,1342,0.1%,Minorities Democratic Party
21,Rambhau Vitthal Chinchore,1120,0.1%,Independent
22,Sapkal Lilabai Dharma,1110,0.1%,Independent
