"Position","Candidate Name","Votes","Votes %","Party"
1,Radadiya Vithalbhai Hansrajbhai,508437,62.8%,Bharatiya Janta Party
2,Jadeja Kandhalbhai Sarmanbhai,240466,29.7%,Nationalist Congress Party
3,Sadiya Vrajalal Pababhai,12180,1.5%,Bahujan Samaj Party
4,Mansukh Sundaraji Dhokai,7939,1.0%,Aam Aadmi Party
5,Vakil Vinzuda Ranjitbhai Naranbhai,4475,0.6%,Independent
6,Irfanshah Habibshah Suharavardi,3825,0.5%,Samajwadi Party
7,Rathod Chandulal Mohanlal,3009,0.4%,Independent
8,Patel Butani Rajeshbhai Maganbhai,2868,0.4%,Independent
9,Khunti Bharatbhai Maldebhai,2205,0.3%,Independent
10,Tukadia G.R.,1704,0.2%,Independent
11,Aghera Dhirajlal Bhurabhai,1671,0.2%,Independent
12,Unadakat Prakash Vallabhadas,1618,0.2%,Independent
13,Khokhani Lalitaben Mansukhbhai,1569,0.2%,Independent
14,Joshi Harish Liladhar,1024,0.1%,Independent
