"Position","Candidate Name","Votes","Votes %","Party"
1,Hariom Singh Rathore,644794,65.7%,Bharatiya Janta Party
2,Gopal Singh Shekhawat,249089,25.4%,Indian National Congress
3,Neeru Ram Jat,14579,1.5%,Bahujan Samaj Party
4,Sanjay Choudhary,12479,1.3%,Independent
5,Idrish Mohammad,10407,1.1%,Jago Party
6,Surya Bhawani Singh Chawara,10160,1.0%,Independent
7,Bhanwar Lal Mali,6418,0.7%,Independent
8,Heera Kathat,5186,0.5%,Independent
9,Pradeep Singh Bhatnagar,4897,0.5%,Aam Aadmi Party
10,Gulam Farid,2977,0.3%,Samajwadi Party
11,Khimaram Salvi,2559,0.3%,Independent
12,Laxman,1392,0.1%,Jai Maha Bharath Party
