"Position","Candidate Name","Votes","Votes %","Party"
1,P.V.Midhun Reddy,601752,52.0%,Yuvajana Sramika Rythu Congress Party
2,D. Purandeswari,426990,36.9%,Bharatiya Janta Party
3,G.Mujeeb Hussain,59777,5.2%,Jai Samaikyandhra Party
4,Annayyagari Sai Prathap,29332,2.5%,Indian National Congress
5,S Narendra Babu,15086,1.3%,Mahajana Socialist Party
6,Venkata Subbaiah Nallugari,8189,0.7%,Bahujan Samaj Party
7,N. Deva,3896,0.3%,Hindustan Janata Party
8,V Pattabhi,3549,0.3%,Independent
9,Shaik Jeelani Saheb,2630,0.2%,Independent
