"Position","Candidate Name","Votes","Votes %","Party"
1,N.K.Premachandran,408528,46.5%,Revolutionary Socialist Party
2,M.A. Baby,370879,42.2%,Communist Party Of India (MARXIST)
3,P.M. Velayudhan,58671,6.7%,Bharatiya Janta Party
4,A.K.Salahudeen,12812,1.5%,Social Democratic Party Of India
5,Adv.S.Prahladan,4266,0.5%,Bahujan Samaj Party
6,M. Baby,3364,0.4%,Independent
7,V.S. Premachandran,3333,0.4%,Independent
8,K. Bhaskaran,3108,0.4%,Independent
9,R. Premachandran,2808,0.3%,Independent
10,C. Indulal Ex-Service Man,1709,0.2%,Independent
11,A. Josekutty,1702,0.2%,Independent
